0,1,2,3,4,5,6,7,8,9,10
049,PRISONS,292,PRISONS,1451,PRISONS,084,KERICHO ANNEX,049292145108401,KERICHO ANNEX,13
049,PRISONS,292,PRISONS,1451,PRISONS,085,SOTIK PRISON,049292145108501,SOTIK PRISON,17
049,PRISONS,292,PRISONS,1451,PRISONS,086,BOMET PRISON,049292145108601,BOMET PRISON,21
049,PRISONS,292,PRISONS,1451,PRISONS,087,KAKAMEGA MAIN,049292145108701,KAKAMEGA MAIN,135
049,PRISONS,292,PRISONS,1451,PRISONS,088,KAKAMEGA WOMEN,049292145108801,KAKAMEGA WOMEN,8
049,PRISONS,292,PRISONS,1451,PRISONS,089,SHIKUSA FARM,049292145108901,SHIKUSA FARM,15
049,PRISONS,292,PRISONS,1451,PRISONS,091,VIHIGA PRISON,049292145109101,VIHIGA PRISON,20
049,PRISONS,292,PRISONS,1451,PRISONS,092,BUNGOMA PRISON (B),049292145109201,BUNGOMA PRISON (B),14
049,PRISONS,292,PRISONS,1451,PRISONS,093,BUSIA WOMEN WING,049292145109301,BUSIA WOMEN WING,1
049,PRISONS,292,PRISONS,1451,PRISONS,094,BUSIA PRISON,049292145109401,BUSIA PRISON,61
049,PRISONS,292,PRISONS,1451,PRISONS,095,SIAYA PRISON (B),049292145109501,SIAYA PRISON (B),7
County Code,County Name,Const Code,Const. Name,CAW Code,CAW Name,Reg. Centre Code,Reg. Centre Name,Polling Station Code,Polling Station Name Name,Registered Voters
049,PRISONS,292,PRISONS,1451,PRISONS,096,KISUMU MAIN,049292145109601,KISUMU MAIN,494
049,PRISONS,292,PRISONS,1451,PRISONS,097,KISUMU WOMEN,049292145109701,KISUMU WOMEN,22
049,PRISONS,292,PRISONS,1451,PRISONS,098,KISUMU MEDIUM,049292145109801,KISUMU MEDIUM,132
049,PRISONS,292,PRISONS,1451,PRISONS,099,KIBOS MAIN PRISON (B),049292145109901,KIBOS MAIN PRISON (B),79
049,PRISONS,292,PRISONS,1451,PRISONS,100,KIBOS MEDIUM PRISON (B),049292145110001,KIBOS MEDIUM PRISON (B),15
049,PRISONS,292,PRISONS,1451,PRISONS,102,HOMA BAY PRISON,049292145110201,HOMA BAY PRISON,40
049,PRISONS,292,PRISONS,1451,PRISONS,103,MIGORI WOMEN,049292145110301,MIGORI WOMEN,6
049,PRISONS,292,PRISONS,1451,PRISONS,104,MIGORI PRISON (B),049292145110401,MIGORI PRISON (B),24
049,PRISONS,292,PRISONS,1451,PRISONS,105,KEHANCHA PRISON/KENDEGE,049292145110501,KEHANCHA PRISON/KENDEGE,4
